medicamento,preco_maximo,localizacao,farmacia,titulo,preco,preco_numero,alerta,link
dipirona,15.0,Adrianópolis Manaus,Drogasil,Dorflex UNO Dipirona 1g 20 comprimidos,Preço não encontrado,,NÃO,https://www.drogasil.com.br/dorflex-uno-enxaqueca-g-com-20-comprimidos.html?origin=search
dipirona,15.0,Adrianópolis Manaus,Drogasil,Bwell Dipbe Dipirona Monoidratada 500mg/ml Solução Gotas 10ml,Preço não encontrado,,NÃO,https://www.drogasil.com.br/bwell-dipirona-monoidratada-500mg-10ml-1344194.html?origin=search
dipirona,15.0,Adrianópolis Manaus,Drogasil,Dipirona Monoidratada Bwell 500mg 20ml,Preço não encontrado,,NÃO,https://www.drogasil.com.br/bwell-dipirona-monoidratada-500mg-20ml-1344286.html?origin=search
dipirona,15.0,Adrianópolis Manaus,Drogasil,Dipirona Monoidratada 500mg 10 comprimidos EMS Genérico,Preço não encontrado,,NÃO,https://www.drogasil.com.br/dipirona-sodica-ems-gen-500mg-1x10-comprimidos.html?origin=search
dipirona,15.0,Adrianópolis Manaus,Drogasil,Dipirona Sodica,Preço não encontrado,,NÃO,https://www.drogasil.com.br/dipirona-sodica-ems-gen-500mg-1x10-comprimidos.html?origin=search
loratadina,20.0,Cidade Nova Manaus,Drogasil,Loratadina 10mg 12 comprimidos Cimed Genérico,Preço não encontrado,,NÃO,https://www.drogasil.com.br/loratadina-10mg-12-comprimidos.html?origin=search
loratadina,20.0,Cidade Nova Manaus,Drogasil,Loratadina,Preço não encontrado,,NÃO,https://www.drogasil.com.br/loratadina-10mg-12-comprimidos.html?origin=search
loratadina,20.0,Cidade Nova Manaus,Drogasil,Loratadina 10mg 12 comprimidos Neo Química Genérico,Preço não encontrado,,NÃO,https://www.drogasil.com.br/loratadina-10mg-neo-quimica-generico-com-12-comprimidos.html?origin=search
loratadina,20.0,Cidade Nova Manaus,Drogasil,Loratadina,Preço não encontrado,,NÃO,https://www.drogasil.com.br/loratadina-10mg-neo-quimica-generico-com-12-comprimidos.html?origin=search
loratadina,20.0,Cidade Nova Manaus,Drogasil,Loratamed Loratadina 10mg 12 comprimidos,Preço não encontrado,,NÃO,https://www.drogasil.com.br/loratamed-10mg-12-comprimidos.html?origin=search
paracetamol,12.0,Centro Manaus,Drogasil,Paracetamol bwell 750mg 20 Comprimidos,Preço não encontrado,,NÃO,https://www.drogasil.com.br/bwell-paracetamol-750mg-20-s.html?origin=search
paracetamol,12.0,Centro Manaus,Drogasil,Paracetamol Criança bwell 32mg/ml Frutas Suspensão Oral 60ml,Preço não encontrado,,NÃO,https://www.drogasil.com.br/bwell-paracetamol-crianca-32mg-60ml.html?origin=search
paracetamol,12.0,Centro Manaus,Drogasil,Paracetamol Bebê bwell 100mg/ml Sabor Frutas 15ml,Preço não encontrado,,NÃO,https://www.drogasil.com.br/bwell-bebe-100mg-15ml.html?origin=search
paracetamol,12.0,Centro Manaus,Drogasil,Paracetamol bwell 500mg + Cafeina 65mg 10 Comprimidos,Preço não encontrado,,NÃO,https://www.drogasil.com.br/bwell-paracetamol-cafeina-500-65mg-10-s.html?origin=search
paracetamol,12.0,Centro Manaus,Drogasil,Paracetamol 750mg 20 comprimidos Prati Donaduzzi Genérico,Preço não encontrado,,NÃO,https://www.drogasil.com.br/paracetamol-750mg-prati-generico-20-comprimidos.html?origin=search
